,duration_bin,games_played,wins,hero_id
1083,900,948,567,52
1084,6300,4,1,52
1085,600,202,127,52
1086,2400,1979,988,52
1087,3600,164,82,52
1088,1500,3388,1735,52
1089,4800,13,6,52
1090,5700,1,1,53
1091,3300,475,224,53
1092,1800,4285,2208,53
1093,3900,116,51,53
1094,300,51,32,53
1095,6000,1,1,53
1096,3000,922,396,53
1097,4200,54,28,53
1098,6600,1,0,53
1099,4500,19,8,53
1100,1200,2805,1626,53
1101,2700,1414,661,53
1102,5100,6,5,53
1103,2100,3244,1506,53
1104,5400,2,2,53
1105,900,1266,815,53
1106,6300,1,0,53
1107,600,298,208,53
1108,2400,2344,1085,53
1109,8400,1,1,53
1110,3600,189,100,53
1111,1500,4029,2205,53
1112,4800,11,5,53
1113,5700,2,0,54
1114,3300,448,227,54
1115,7500,1,0,54
1116,1800,3976,2013,54
1117,3900,123,59,54
1118,300,46,18,54
1119,7200,1,0,54
1120,3000,882,442,54
1121,4200,56,28,54
1122,4500,31,17,54
1123,1200,2274,1109,54
1124,2700,1296,645,54
1125,5100,10,4,54
1126,2100,3118,1551,54
1127,5400,2,1,54
1128,900,876,367,54
1129,6300,1,1,54
1130,600,210,86,54
1131,2400,2265,1155,54
1132,3600,210,104,54
1133,1500,3621,1751,54
1134,4800,10,5,54
1135,5700,3,1,55
1136,3300,513,270,55
1137,1800,3169,1641,55
1138,3900,128,74,55
1139,300,44,20,55
1140,6000,1,0,55
1141,7200,1,1,55
1142,3000,835,415,55
1143,4200,77,41,55
1144,6600,1,1,55
1145,7800,1,0,55
1146,4500,40,16,55
1147,1200,1886,914,55
1148,2700,1273,649,55
1149,5100,8,3,55
1150,2100,2529,1277,55
1151,5400,4,1,55
1152,900,854,374,55
1153,6300,1,0,55
1154,600,205,96,55
1155,2400,1990,1039,55
1156,3600,252,133,55
1157,8100,1,0,55
1158,1500,2916,1478,55
1159,4800,29,16,55
1160,3300,136,75,56
1161,1800,1226,658,56
1162,3900,38,20,56
1163,300,11,5,56
1164,3000,259,130,56
1165,4200,13,5,56
1166,4500,5,3,56
1167,1200,748,365,56
1168,2700,369,183,56
1169,5100,4,4,56
1170,2100,856,432,56
1171,5400,1,1,56
1172,900,273,117,56
1173,600,71,26,56
1174,2400,636,322,56
1175,3600,63,25,56
1176,1500,1081,529,56
1177,4800,4,4,56
